CustomerEmail ,OrderID ,NumOfEntriesLeft ,TicketType ,Price 
sapir@gmail.com,9001,0,Individual training,40
carmel@gmail.com,9002,0,Multiple entrance ticket of 5,180
mirit@gmail.com,9003,1,Multiple entrance ticket of 10,350
roei@gmail.com,9004,11,Multiple entrance ticket of 20,600
omer@gmail.com,9005,0,Personal workout,120
jennifer@gmail.com,9006,0,Individual training,40
mika@gmail.com,9007,0,Multiple entrance ticket of 5,180
inbar@gmail.com,9008,5,Multiple entrance ticket of 10,350
aviv@gmail.com,9009,9,Multiple entrance ticket of 20,600
alexa@gmail.com,9010,0,Personal workout,120
ruby@gmail.com,9011,0,Individual training,40
pula@gmail.com,9012,0,Multiple entrance ticket of 5,180
noa@gmail.com,9013,2,Multiple entrance ticket of 10,350
john@gmail.com,9014,10,Multiple entrance ticket of 20,600
christian@gmail.com,9015,0,Personal workout,120
morgan@gmail.com,9016,10,Multiple entrance ticket of 20,600
denzel@gmail.com,9017,0,Personal workout,120
will@gmail.com,9018,0,Individual training,40
brad@gmail.com,9019,2,Multiple entrance ticket of 5,180
sapir@gmail.com,9020,13,Multiple entrance ticket of 20,600
carmel@gmail.com,9021,0,Personal workout,120
mirit@gmail.com,9022,0,Individual training,40
roei@gmail.com,9023,2,Multiple entrance ticket of 5,180
omer@gmail.com,9024,10,Multiple entrance ticket of 20,600
jennifer@gmail.com,9025,0,Personal workout,120
mika@gmail.com,9026,0,Individual training,40
inbar@gmail.com,9027,0,Personal workout,120
aviv@gmail.com,9028,0,Individual training,40
alexa@gmail.com,9029,1,Multiple entrance ticket of 5,180
