WorkoutType ,DateTime ,InstructorEmail ,MaxSpots 
Classical Pilates,02/01/2022 9:00,michal@gmail.com,15
Mat Pilates,02/01/2022 12:00,jessica@gmail.com,12
Reformer Pilates,02/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,02/01/2022 18:00,neta@gmail.com,5
Classical Pilates,03/01/2022 9:00,michal@gmail.com,15
Mat Pilates,03/01/2022 12:00,jessica@gmail.com,12
Reformer Pilates,03/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,03/01/2022 18:00,neta@gmail.com,5
Classical Pilates,04/01/2022 9:00,michal@gmail.com,15
Mat Pilates,04/01/2022 12:00,jessica@gmail.com,12
Reformer Pilates,04/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,04/01/2022 18:00,neta@gmail.com,5
Classical Pilates,05/01/2022 9:00,michal@gmail.com,15
Mat Pilates,05/01/2022 12:00,jessica@gmail.com,12
Reformer Pilates,05/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,05/01/2022 18:00,neta@gmail.com,5
Classical Pilates,06/01/2022 9:00,michal@gmail.com,15
Mat Pilates,06/01/2022 12:00,jessica@gmail.com,12
Reformer Pilates,06/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,06/01/2022 18:00,neta@gmail.com,5
Classical Pilates,30/01/2022 9:00,michal@gmail.com,15
Personal Workout,30/01/2022 10:00,michal@gmail.com,1
Personal Workout,30/01/2022 11:00,michal@gmail.com,1
Mat Pilates,30/01/2022 12:00,jessica@gmail.com,12
Personal Workout,30/01/2022 14:00,michal@gmail.com,1
Personal Workout,30/01/2022 15:00,michal@gmail.com,1
Reformer Pilates,30/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,30/01/2022 18:00,neta@gmail.com,5
Personal Workout,30/01/2022 19:00,michal@gmail.com,1
Classical Pilates,31/01/2022 9:00,michal@gmail.com,15
Personal Workout,31/01/2022 10:00,michal@gmail.com,1
Personal Workout,31/01/2022 11:00,michal@gmail.com,1
Mat Pilates,31/01/2022 12:00,jessica@gmail.com,12
Personal Workout,31/01/2022 14:00,michal@gmail.com,1
Personal Workout,31/01/2022 15:00,michal@gmail.com,1
Reformer Pilates,31/01/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,31/01/2022 18:00,neta@gmail.com,5
Personal Workout,31/01/2022 19:00,michal@gmail.com,1
Classical Pilates,01/02/2022 9:00,michal@gmail.com,15
Personal Workout,01/02/2022 10:00,michal@gmail.com,1
Personal Workout,01/02/2022 11:00,michal@gmail.com,1
Mat Pilates,01/02/2022 12:00,jessica@gmail.com,12
Personal Workout,01/02/2022 14:00,michal@gmail.com,1
Personal Workout,01/02/2022 15:00,michal@gmail.com,1
Reformer Pilates,01/02/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,01/02/2022 18:00,neta@gmail.com,5
Personal Workout,01/02/2022 19:00,michal@gmail.com,1
Classical Pilates,02/02/2022 9:00,michal@gmail.com,15
Personal Workout,02/02/2022 10:00,michal@gmail.com,1
Personal Workout,02/02/2022 11:00,michal@gmail.com,1
Mat Pilates,02/02/2022 12:00,jessica@gmail.com,12
Personal Workout,02/02/2022 14:00,michal@gmail.com,1
Personal Workout,02/02/2022 15:00,michal@gmail.com,1
Reformer Pilates,02/02/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,02/02/2022 18:00,neta@gmail.com,5
Personal Workout,02/02/2022 19:00,michal@gmail.com,1
Classical Pilates,03/02/2022 9:00,michal@gmail.com,15
Personal Workout,03/02/2022 10:00,michal@gmail.com,1
Personal Workout,03/02/2022 11:00,michal@gmail.com,1
Mat Pilates,03/02/2022 12:00,jessica@gmail.com,12
Personal Workout,03/02/2022 14:00,michal@gmail.com,1
Personal Workout,03/02/2022 15:00,michal@gmail.com,1
Reformer Pilates,03/02/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,03/02/2022 18:00,neta@gmail.com,5
Personal Workout,03/02/2022 19:00,michal@gmail.com,1
Classical Pilates,06/02/2022 9:00,michal@gmail.com,15
Personal Workout,06/02/2022 10:00,michal@gmail.com,1
Personal Workout,06/02/2022 11:00,michal@gmail.com,1
Mat Pilates,06/02/2022 12:00,jessica@gmail.com,12
Personal Workout,06/02/2022 14:00,michal@gmail.com,1
Personal Workout,06/02/2022 15:00,michal@gmail.com,1
Reformer Pilates,06/02/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,06/02/2022 18:00,neta@gmail.com,5
Personal Workout,06/02/2022 19:00,michal@gmail.com,1
Classical Pilates,07/02/2022 9:00,michal@gmail.com,15
Personal Workout,07/02/2022 10:00,michal@gmail.com,1
Personal Workout,07/02/2022 11:00,michal@gmail.com,1
Mat Pilates,07/02/2022 12:00,jessica@gmail.com,12
Personal Workout,07/02/2022 14:00,michal@gmail.com,1
Personal Workout,07/02/2022 15:00,michal@gmail.com,1
Reformer Pilates,07/02/2022 16:00,nathan@gmail.com,10
Prenatal Pilates,07/02/2022 18:00,neta@gmail.com,5
Personal Workout,07/02/2022 19:00,michal@gmail.com,1
Classical Pilates,08/02/2022 9:00,michal@gmail.com,15
Personal Workout,08/02/2022 10:00,michal@gmail.com,1
Personal Workout,08/02/2022 11:00,michal@gmail.com,1
Mat Pilates,08/02/2022 12:00,jessica@gmail.com,12
Personal Workout,08/02/2022 14:00,michal@gmail.com,1
Personal Workout,08/02/2022 15:00,michal@gmail.com,1
